Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0223939305697832,0.000348077342381665,0.0454753625347418,0,0,0,109.315349054885,2.64091019967907,0.000229290004958896,-0.000345046768273635,21.0436262038088,-2.99361578542777E-05,19.9899139205161,0,0,0,0,0,0,package://remake5/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://remake5/meshes/base_link.STL,,base-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
upper_structure,-0.257512763928901,-0.0314839804049316,-0.194537884922062,0,0,0,77.6129571793414,3.66606971425006,-0.0229551972293722,0.0678281723209963,4.19411040780773,0.0032466384382796,7.12254752152241,0,0,0,0,0,0,package://remake5/meshes/controller.STL,1,1,1,1,0,0,0,0,0,0,package://remake5/meshes/controller.STL,,upper_structure-1,upper_structure,基准轴1,swing_joint,revolute,0,0,0.67,0,0,0,base_link,0,0,-1,100,1,-3.14,3.14,,,,,,,,
boom,0.415647875262087,0.0349155693994563,0.899934854438424,0,0,0,11.1002972149815,0.635345475430364,3.95874385550644E-07,-0.361617670803655,0.886197755286414,7.73929655728433E-07,0.26758374344147,0,0,0,0,0,0,package://remake5/meshes/dabi.STL,1,1,1,1,0,0,0,0,0,0,package://remake5/meshes/dabi.STL,,boom-1,boom,基准轴2,boom_joint,revolute,0.84031,-0.1344,-0.224,0,0,0,upper_structure,0,1,0,100,1,-3.14,3.14,,,,,,,,
stick,0.225740015757746,-0.0895342301383664,-0.296165475735016,0,0,0,4.97678856772179,0.114028668436709,-2.14400328254631E-08,0.0504849328695355,0.146950764141354,-7.66581284584777E-08,0.0371473780417349,0,0,0,0,0,0,package://remake5/meshes/xiaobi.STL,1,1,1,1,0,0,0,0,0,0,package://remake5/meshes/xiaobi.STL,,stick-1,stick,基准轴3,stick_joint,revolute,1.09359335696479,0.123999781129014,1.47352591557926,0,0,0,boom,0,0.99999999999998,0,100,1,-3.14,3.14,,,,,,,,
bucket,0.164005583089827,-0.0830367856092139,-0.262470226939849,0,0,0,6.72063953784663,0.0759538092371879,-6.20543233769908E-07,0.00369121004683547,0.0526434064919526,-7.34476299555951E-07,0.0503200659985818,0,0,0,0,0,0,package://remake5/meshes/watou.STL,1,1,1,1,0,0,0,0,0,0,package://remake5/meshes/watou.STL,,bucket-1,bucket,基准轴4,bucket_joint,revolute,0.455946627104724,-0.00650009125267029,-0.827736395860433,0,0,0,stick,0,0.99999999999998,0,100,1,-3.14,3.14,,,,,,,,
bucket_link,0.00101120266968691,-0.0866083549590553,0.056804604174963,0,0,0,0.766349887273834,0.00101847041478118,-5.13482031342435E-08,-2.69477488155855E-06,0.000490142350691889,-5.19313223251949E-08,0.000821881943376401,0,0,0,0,0,0,package://remake5/meshes/sigan1.STL,1,1,1,1,0,0,0,0,0,0,package://remake5/meshes/sigan1.STL,,sigab1-1,bucket_link,基准轴12,bucket_to_bucket_link_joint,revolute,0.0997753251526592,0,0.00667390709543314,0,0,0,bucket,0,0.99999999999998,0,100,1,-3.14,3.14,,,,,,,,
stick_cylinder_rod,-0.229115917651314,-0.0199999285706746,-0.0912758472209845,0,0,0,0.636593414100438,0.0027450120843092,7.2457126745639E-10,-0.00645988946900808,0.0189882709172767,1.1371126446335E-10,0.016389781229001,0,0,0,0,0,0,package://remake5/meshes/huosai3b.STL,1,1,1,1,0,0,0,0,0,0,package://remake5/meshes/huosai3b.STL,,stick_cylinder_rod-1,stick_cylinder_rod,基准轴8,stick_to_stick_cylinder_rod_joint,revolute,-0.0011748,-0.069,0.198,0,0,0,stick,0,-1,0,100,1,-3.14,3.14,,,,,,,,
bucket_cylinder_barrel,0.103047090108206,-0.0227062042964373,-0.195245006286677,0,0,0,1.11193350717462,0.0219649623563888,-9.88474596291755E-06,0.0112402006589806,0.028026671698401,1.69520593235006E-05,0.0070451017057315,0,0,0,0,0,0,package://remake5/meshes/huosai4a.STL,1,1,1,1,0,0,0,0,0,0,package://remake5/meshes/huosai4a.STL,,bucket_cylinder_barrel-1,bucket_cylinder_barrel,基准轴9,stick_to_bucket_cylinder_barrel_joint,revolute,0.262116942692277,-0.0665000514603171,-0.092419584883574,0,0,0,stick,0,-0.99999999999998,0,100,1,-3.14,3.14,,,,,,,,
bucket_bellcrank,0.0444354161953271,-0.0798019688256126,0.0424689613678306,0,0,0,0.873348986641261,0.00148122417147968,3.77092437670316E-11,-0.00052850357153218,0.00163665502857873,1.11739293948774E-10,0.00176060232992296,0,0,0,0,0,0,package://remake5/meshes/sigan2.STL,1,1,1,1,0,0,0,0,0,0,package://remake5/meshes/sigan2.STL,,bucket_bellcrank-1,bucket_bellcrank,基准轴11,stick_to_bucket_bellcrank_joint,revolute,0.416378305836035,-0.0100000833334549,-0.755908524273468,0,0,0,stick,0,-0.99999999999998,0,100,1,-3.14,3.14,,,,,,,,
bucket_cylinder_rod,-0.100270908181994,-0.0199999796012131,0.187002282705032,0,0,0,0.584099353233864,0.0111341801982769,3.68186084737276E-10,0.00588366134826714,0.0143149044659556,-1.28927266764785E-09,0.00331615281205771,0,0,0,0,0,0,package://remake5/meshes/huosai4b.STL,1,1,1,1,0,0,0,0,0,0,package://remake5/meshes/huosai4b.STL,,bucket_cylinder_rod-1,bucket_cylinder_rod,基准轴10,bucket_bellcrank_to_bucket_cylinder_rod_joint,revolute,0.142616525247579,-0.0590000285429868,0.109820414121545,0,0,0,bucket_bellcrank,0,0.99999999999998,0,100,1,-3.14,3.14,,,,,,,,
